,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,cluster
0,US,392.8326957144892,662.1474984546369,527.8927331986766,98.5909937092352,189.6741807761142,462.36895803049487,327.75069197415763,95.34497479926276,354.9836955450865,-0.23252645877332087,1503.3183597998695,-0.44659560582988905,0.0482923645855993,430.6672854503938,670.8574747503316,561.037017062057,80.7502324184026,177.5839697693977,367.2770363369077,271.990212385178,63.221726699998996,443.32571423096164,-0.10605525990753939,3039.6214775323688,0.12022630834512023,-0.37547600913937546,474.91301993561973,636.8840791972578,559.9406844167584,55.844250871787736,254.64798333461812,394.71141300038937,324.6625549265189,46.443087896016735,400.6241987131546,0.34634650861950533,4501.3594424161965,-0.25478482132979313,-0.26275030423719437,510.92975970173296,619.7543081022615,566.9767332807196,37.29790941283861,296.29507063510556,398.0858431659715,346.2218366414345,33.75053258561059,388.22419489324665,0.34972917803848513,5582.523736171404,-0.26340848620641366,-0.15614059655510432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,RU,468.1923396281707,691.7115529704298,578.0118387180862,82.48744497397604,229.67037655757025,464.0452783046625,352.4389798503361,82.21266068083479,367.0963087232404,0.9647926316287385,1271.9551282051282,-0.5769230769230769,0.3803418803418803,491.8275980338072,750.7115423414442,638.205042769333,85.67257579767345,194.54365633288,379.2550623967097,287.6953134636197,64.39111061901086,471.8140655287826,-2.2867166821307974,2872.809829059829,0.47435897435897434,-0.4230769230769231,536.547479445725,725.641592740502,638.2859901590125,61.58618821595663,216.6733879808185,348.2059381717788,285.1644456932343,42.680635060749225,506.1491208939399,-0.2803165904193031,4354.400428265525,0.07494646680942184,-0.20342612419700215,587.8747719783408,710.2355736377192,654.2225781894998,40.896075152065066,267.725071402157,366.5562625211828,316.34230002267344,32.851878634550346,490.10087277218685,0.23948309195437573,5412.296568627451,-0.00980392156862745,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,AU,438.52816876232396,703.4608129596345,572.0023495623327,97.48743033124462,206.30466555692684,473.2809280551028,342.52522044216323,93.55979549125456,366.3558679731058,-2.697807646453622,1432.955938697318,-0.5747126436781609,0.14942528735632185,467.98905037554744,722.3133943199655,607.2282455326906,85.52303614894636,188.40503946449107,373.7060119609038,280.56936879821154,62.29087282164214,463.27278295582425,0.6652335171052223,2935.894636015326,0.11494252873563218,-0.48659003831417624,519.6919177360977,684.7567368290139,606.9232992737758,56.29359977472771,252.97154966618103,387.584299620169,319.449259062438,44.7404444759208,435.72572783316195,0.13077297280159836,4397.650579150579,-0.22393822393822393,-0.25868725868725867,567.4307811360964,674.339216312892,622.7931349206443,36.481424999805554,296.0276538448434,394.31697766056084,344.2073210680046,32.5693376368119,440.2089675387664,0.1962762876164149,5455.431924882629,-0.3380281690140845,-0.06103286384976526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,KR,300.1794172753228,508.1223373413086,403.841234750885,69.80705883472642,145.30526970757379,320.51218956841365,242.05584180866828,60.1705060820956,362.804374399008,-2.7000803762610213,779.4088888888889,-0.6177777777777778,0.49333333333333335,351.89497250027125,572.0705865817599,473.71265911930277,77.45004600046074,175.02608725653755,340.475451965332,264.86660457200077,57.157557823012354,379.0113966311582,0.43297852997962855,2001.648888888889,0.23555555555555555,0.27111111111111114,373.4133390188217,533.4224234649113,459.83762490643875,56.67047381484037,236.46229730333602,345.34071619170055,296.2219966546673,36.79939384023747,351.80564257781265,-0.11969804424377042,3214.808035714286,-0.14285714285714285,0.14285714285714285,397.2757120517337,511.5801193511005,459.38832909961576,41.36039021352498,249.51382843154428,354.722522752702,308.20657642080636,35.65118689554507,335.4781164557364,0.5798597240143469,4278.605381165919,-0.02242152466367713,0.21973094170403587,414.26418895822354,508.3495221011853,463.4327847786922,32.38456182233804,257.9790345852968,340.60509301241115,298.0070754969654,27.72868027868034,323.5385994856466,1.0450431909520732,5095.111111111111,-0.14285714285714285,-0.13227513227513227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4,CA,379.2941359548528,632.5508838604588,506.601770454533,92.09912912806121,195.10744793030742,455.7592850819804,327.9190010558752,90.60862235926815,331.11676946823457,0.5930463121413684,1442.015691868759,-0.38373751783166904,0.04992867332382311,419.50041739100567,644.936916095554,543.197850929716,76.02532057251855,190.33367465532115,372.9640946871204,282.6004656273917,61.59511791488862,405.96829988429147,1.2983954746871316,2934.074179743224,0.0898716119828816,-0.3209700427960057,459.4639226490208,617.3759816964009,544.1884370032757,54.09551226721056,256.4956701866831,392.72407244811484,325.77028674278614,45.088666513371756,396.8103120536357,0.08110547020481773,4397.384726224784,-0.1729106628242075,-0.20461095100864554,492.65760108921353,615.7822257969207,557.5569256977082,41.63295366293759,279.6342139128583,387.03072322858657,332.2186168145484,35.71271771180701,391.16315911769766,0.3792458838145568,5477.017301038062,-0.17993079584775087,-0.20761245674740483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,KW,238.54058456420898,470.36313550225617,355.8113041374485,86.2269202692773,172.42117283262056,432.9456197804418,298.3699822586211,93.3732596904961,323.5127103693213,2.354421439036178,1441.2068965517242,-0.4482758620689655,-0.2413793103448276,261.0994812537884,488.1151712351832,386.90234988489743,77.92564340323831,135.78530949559706,325.62634487809805,236.45726758416737,62.66678514699624,348.02334447038953,0.19095472747615574,2826.0,-0.10344827586206896,-0.6551724137931034,313.81813733331086,450.6274466679014,381.7089765455244,45.06792039864389,215.4792760651687,320.5432076289736,266.7620694755387,34.27398678681441,284.848790402375,-0.22914073955547565,4383.206896551724,-0.3793103448275862,-0.3103448275862069,300.88759132667826,396.9970369692202,350.05648023100326,33.71424559768821,231.57044403641314,330.46688786259404,285.199806316468,33.319804800953385,251.14768794363064,2.465923171745631,5271.814814814815,-0.48148148148148145,-0.1111111111111111,295.6559996171431,419.54363666881216,360.88878391417694,40.32910083239893,259.75490812821823,340.68127406727183,296.04081592995107,26.40977951206645,249.0051580749034,1.4349466431330464,6494.681818181818,-0.09090909090909091,-0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,RS,411.3718025370648,611.7197247555381,510.69185928661176,73.9708943914635,207.1335388986688,458.9016588110673,337.66787598439447,85.83462753597931,347.12927161173667,-8.524560732313764,1457.7894736842106,-0.4473684210526316,0.3684210526315789,431.32765840229234,670.7650256909823,572.7819967978085,77.86230816317207,186.18172397111593,370.71913177088686,277.24531534621,65.16851825479145,427.39702874558753,-5.221495404957179,3055.1315789473683,0.39473684210526316,-0.42105263157894735,471.69493278297216,662.8179589348871,577.2062420710348,62.05141553552409,170.28412195154138,320.0235536936167,247.44025031096925,47.83472621860188,472.30256233791914,0.6461942292231295,4587.418918918919,0.10810810810810811,-0.32432432432432434,496.6091733186141,579.7947109056556,536.9173246331145,29.381293628571935,280.36156552079797,366.53991267992103,324.1751548306939,29.104587182791853,354.8424730990327,-0.2207492921216196,5735.724637681159,-0.2753623188405797,-0.18840579710144928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
7,CH,488.8574917921379,685.8999697557136,587.3010061508378,74.27422557216808,233.3149105470572,489.84732818603516,363.59172498272954,88.47959868439779,373.7630233640521,-2.4534973614881093,1274.4328358208954,-0.582089552238806,0.2835820895522388,515.8874625590311,756.0168798645931,648.6985095400825,77.04430371492519,214.01594110745103,385.1196269704335,298.55305211079207,58.40082160814529,479.2604211638715,2.890138285293746,2677.402985074627,0.5223880597014925,-0.5522388059701493,547.5008353617654,714.9435661657533,635.3777398459022,55.24690590873734,249.59952271874272,383.2739990006632,317.48013916367876,43.02345063315006,499.7793452041351,-3.9537280505190937,3949.7611940298507,-0.04477611940298507,-0.22388059701492538,596.8743064634261,758.7014007568359,680.5244882503536,53.665211547035994,289.30078974077776,396.3990487129457,346.0289357429174,34.994863046506616,498.7456992756267,-0.8535955729915848,5233.274193548387,-0.03225806451612903,-0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,IN,284.17199184513896,417.82531116389424,350.5810632663412,45.73808559823088,161.54896327427454,321.6814263608275,248.49410526830818,54.9146659709101,317.89754557525833,-0.2338779783986071,890.8403361344538,-0.44537815126050423,0.36134453781512604,326.0306720893924,485.7473365719579,417.8382792130224,53.56317909237403,170.102299281529,316.5090979568097,249.5666046986605,50.02355900901151,315.88971574478546,0.6513188031852285,2160.72268907563,0.29411764705882354,0.226890756302521,322.3563135438046,475.3653980190471,403.4824536695773,52.93634120357882,201.20408184245483,321.92455608561886,265.91542409742704,41.11114171347669,300.02219731925067,-0.5827337867941738,3433.262711864407,0.05084745762711865,-0.01694915254237288,353.6372671456173,474.1957847989839,420.0987421547389,41.8435732253729,234.77623906628838,348.06577228677685,301.1542204951579,37.04963169561467,317.36685164383135,-0.8051932658273762,4702.0948275862065,-0.06896551724137931,0.10344827586206896,365.5593881236697,461.1168828427213,415.5108722462089,31.544623914716468,242.03593733704207,328.06979229380784,285.12014390752313,28.839202020996932,293.2366917983506,0.8893648740078876,5622.300970873786,-0.08737864077669903,-0.08737864077669903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
9,GB,378.87688421701677,645.6640509148281,512.9387309476368,98.48180777584989,187.8991328703484,467.7567622493885,328.29745172885265,97.53506354395647,341.88636359219146,-1.0498262362308388,1608.4742567077592,-0.4416243654822335,0.019579405366207395,418.80221334516875,661.4205233412778,552.4454639460001,81.20288482704737,177.34018842823008,361.1291918128707,268.6249961280942,61.58296064191662,439.2211875709671,0.5757367834127978,3182.5061638868747,0.20087019579405366,-0.39231327048585934,461.49235848901225,617.4414669017417,542.8507913525527,52.90061831118449,234.876596404268,361.0817693167156,297.627878508544,41.750815451840815,410.53144736580725,0.1997368716323672,4704.735615440641,-0.2046613255644574,-0.21631463947560087,509.4508540437472,607.5194715345583,559.366336691751,33.46322104515774,288.86941186573335,381.6319942146078,335.23610071217047,31.00830463949351,393.9382775860497,0.40606940624967297,5798.517211703958,-0.3373493975903614,0.020654044750430294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
